Client,Recency,Frequency,Revenue,RecencyCluster,FrequencyCluster,RevenueCluster,OverallScore,Segment
Tyrone Wright,422,174,6448.4,1,0,0,1,Low-Value
Nathaniel Walton,427,7,1116.5,1,0,0,1,Low-Value
Samuel Bond,433,188,1092.05,1,0,0,1,Low-Value
James Watson,429,68,961.5,1,0,0,1,Low-Value
Erica Cox,480,18,494,1,0,0,1,Low-Value
Jessica Wheeler,435,148,793.9,1,0,0,1,Low-Value
Jean Ramos,483,76,2527.75,1,0,0,1,Low-Value
Kevin Hampton,463,56,1377,1,0,0,1,Low-Value
Kathy Turner,365,15,568,1,0,0,1,Low-Value
Robert Beard,437,26,613,1,0,0,1,Low-Value
Morgan Morales,492,15,1260,1,0,0,1,Low-Value
Ariel Cisneros,494,51,6328,1,0,0,1,Low-Value
Joel Johnson,414,15,835,1,0,0,1,Low-Value
Mrs. Beth Adams,485,26,4460.3,1,0,0,1,Low-Value
Aaron Williams,420,22,695,1,0,0,1,Low-Value
Mr. William Benitez DDS,492,2,114,1,0,0,1,Low-Value
David Garcia,450,31,1747,1,0,0,1,Low-Value
Anthony Simmons,275,8,415.45,1,0,0,1,Low-Value
Robert Bentley,414,77,2408.15,1,0,0,1,Low-Value
Todd Chavez,374,3,141,1,0,0,1,Low-Value
John Contreras,433,130,867.1,1,0,0,1,Low-Value
Levi Moses,441,3,159,1,0,0,1,Low-Value
John Garcia,489,7,486,1,0,0,1,Low-Value
Seth Long,273,34,1336,1,0,0,1,Low-Value
Stacy Hines,338,2,36,1,0,0,1,Low-Value
Michael Diaz,457,35,1134,1,0,0,1,Low-Value
Cory Higgins,477,5,1328,1,0,0,1,Low-Value
Daniel Collins,435,68,6622,1,0,0,1,Low-Value
Charles Clark,422,7,603,1,0,0,1,Low-Value
John Dixon DVM,422,107,554,1,0,0,1,Low-Value
Mrs. Megan Solis,461,10,1217,1,0,0,1,Low-Value
Jose Howard,414,10,152,1,0,0,1,Low-Value
Aaron White,420,15,2291.4,1,0,0,1,Low-Value
William Nguyen,324,14,445,1,0,0,1,Low-Value
Elizabeth Duncan,429,151,890.9,1,0,0,1,Low-Value
Rebecca Holden,421,2,629,1,0,0,1,Low-Value
Jonathan Williams,443,8,0,1,0,0,1,Low-Value
Kevin Lee,410,11,897,1,0,0,1,Low-Value
Kelly Diaz,438,63,1191,1,0,0,1,Low-Value
Michael Horton,373,2,673,1,0,0,1,Low-Value
Jake Mack,431,80,10283.86,1,0,0,1,Low-Value
Andrea Thompson,417,28,8820,1,0,0,1,Low-Value
Benjamin Brooks,473,7,509,1,0,0,1,Low-Value
Hannah Miller,450,4,758,1,0,0,1,Low-Value
Joel Allen,433,6,157,1,0,0,1,Low-Value
Mackenzie Tanner,310,5,114,1,0,0,1,Low-Value
Ricardo Romero,476,5,213,1,0,0,1,Low-Value
Michael Cannon,409,40,2468,1,0,0,1,Low-Value
Julia King,435,165,4798,1,0,0,1,Low-Value
Mikayla Ellis,409,111,812,1,0,0,1,Low-Value
Desiree Ramos,430,98,1047.3,1,0,0,1,Low-Value
David Summers,408,170,552.4,1,0,0,1,Low-Value
Joseph Murillo,414,26,3908,1,0,0,1,Low-Value
Keith Duncan,435,120,687.4,1,0,0,1,Low-Value
Jamie Patterson,417,24,380.84,1,0,0,1,Low-Value
Alexandra Hunt,429,23,89.5,1,0,0,1,Low-Value
Kristi Jones,414,2,58,1,0,0,1,Low-Value
Jason Grant,433,103,3701,1,0,0,1,Low-Value
Dylan Clark,449,73,487,1,0,0,1,Low-Value
Dale Johnson,422,7,2550,1,0,0,1,Low-Value
Charlene Jenkins,484,15,527,1,0,0,1,Low-Value
Gerald Stewart,452,13,138,1,0,0,1,Low-Value
Eric Murray,325,7,420,1,0,0,1,Low-Value
Robert Day,454,5,555,1,0,0,1,Low-Value
Richard Swanson,364,7,112,1,0,0,1,Low-Value
Melissa Wilson,420,35,1339,1,0,0,1,Low-Value
Cynthia Little,431,32,2663,1,0,0,1,Low-Value
Larry Webb,427,19,402,1,0,0,1,Low-Value
Jordan Ho,417,33,1240.8,1,0,0,1,Low-Value
Jacqueline Hartman,449,10,5129.8,1,0,0,1,Low-Value
Matthew Todd,412,37,6446,1,0,0,1,Low-Value
Michael Watson,431,15,100.2,1,0,0,1,Low-Value
Jane Simmons,336,4,871,1,0,0,1,Low-Value
Brian Jones,421,19,1838,1,0,0,1,Low-Value
Michelle Cantu,437,22,796,1,0,0,1,Low-Value
Seth Rivers,325,9,327,1,0,0,1,Low-Value
Julia Wolfe,434,190,2164.01,1,0,0,1,Low-Value
Heather Dodson,414,106,466.5,1,0,0,1,Low-Value
Erik Harris,435,17,574,1,0,0,1,Low-Value
Matthew Serrano,421,8,685,1,0,0,1,Low-Value
David Park,333,2,113,1,0,0,1,Low-Value
Jeremy Chavez,458,43,2662,1,0,0,1,Low-Value
Meghan Glenn,347,6,164,1,0,0,1,Low-Value
Denise Reynolds,480,21,2360,1,0,0,1,Low-Value
Jennifer Allen,462,8,475,1,0,0,1,Low-Value
Timothy Davis,321,2,37,1,0,0,1,Low-Value
Timothy Brown,414,182,1120.15,1,0,0,1,Low-Value
Marcus Mitchell MD,414,13,954,1,0,0,1,Low-Value
Diane Logan,480,9,409.6,1,0,0,1,Low-Value
James Bell,431,240,2238,1,0,0,1,Low-Value
Shawn Fuentes,442,18,586,1,0,0,1,Low-Value
Nicholas Snow,409,40,1727,1,0,0,1,Low-Value
Roberto Palmer,409,5,1380,1,0,0,1,Low-Value
Amy Holland,429,194,1398.9,1,0,0,1,Low-Value
Daniel Johnson,412,72,1013.15,1,0,0,1,Low-Value
Lori Bailey,473,7,1680,1,0,0,1,Low-Value
Dawn Smith,375,3,582,1,0,0,1,Low-Value
Shawn Reese,414,60,3462,1,0,0,1,Low-Value
Angela Lopez,461,4,139,1,0,0,1,Low-Value
Brittney White,429,43,1342,1,0,0,1,Low-Value
Bill Long,491,30,513,1,0,0,1,Low-Value
Breanna Johnson,433,49,369.8,1,0,0,1,Low-Value
Jeffrey Ross,368,10,308,1,0,0,1,Low-Value
Daniel Swanson,484,4,636,1,0,0,1,Low-Value
Rachel Bender,322,7,185,1,0,0,1,Low-Value
Julia Mills,457,7,3250,1,0,0,1,Low-Value
Jo Robinson,434,117,1428.8,1,0,0,1,Low-Value
Stephanie Webb DDS,480,5,1241,1,0,0,1,Low-Value
Robert Ford,476,13,1105,1,0,0,1,Low-Value
Kelly Murphy,395,2,571,1,0,0,1,Low-Value
Jill Vega,429,22,150.8,1,0,0,1,Low-Value
Carlos Sims,430,49,1166,1,0,0,1,Low-Value
Carol Briggs,437,26,324,1,0,0,1,Low-Value
Sean Miller PhD,491,20,389.6,1,0,0,1,Low-Value
Thomas Jones,472,52,1466,1,0,0,1,Low-Value
James Myers,429,14,64.6,1,0,0,1,Low-Value
Alan Cortez,477,3,762,1,0,0,1,Low-Value
Jennifer Smith,487,16,1788,1,0,0,1,Low-Value
Courtney Dodson,414,11,354,1,0,0,1,Low-Value
Samantha Burke,429,23,48,1,0,0,1,Low-Value
Victoria Cooper,449,29,6079,1,0,0,1,Low-Value
David Gomez,426,5,196,1,0,0,1,Low-Value
Eric Jackson,451,15,768.6,1,0,0,1,Low-Value
Michelle Juarez,436,11,606,1,0,0,1,Low-Value
Sean Murray,429,132,648.3,1,0,0,1,Low-Value
Faith Gutierrez,389,4,62,1,0,0,1,Low-Value
Pamela Johnson,430,56,528.3,1,0,0,1,Low-Value
Megan Davis,434,144,920.76,1,0,0,1,Low-Value
حمزه حلباوي,441,43,623.3,1,0,0,1,Low-Value
Anna Mclean,410,101,2913.36,1,0,0,1,Low-Value
Jason Levine,463,11,379,1,0,0,1,Low-Value
